system:index,Muni_code,count,double_area_km2,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,onset_historicalRange,single_area_km2,single_delay,single_harvest,single_plant,total_planted_area_km2,year
0_+3227+4396,5103304,3080,,,,,14204520,-13.25916218,-59.76242026,50,22,0.241798375,77.19709673,240.7440682,127.1970967,0.241798375,2004
0_+3227+4452,5103304,3080,,,,,15284880,-13.51069046,-59.76242026,50,31,0.241617531,47.21141999,225.46142,97.21141999,0.241617531,2004
0_+3227+4507,5103304,3025,,,,,15393350,-13.76221874,-59.76242026,50,32,,,,,,2004
0_+3227+4563,5106182,3080,,,,,16070450,-14.00925545,-59.76242026,50,31,,,,,,2004
0_+3227+4619,5106182,3080,,,,,16169600,-14.26078372,-59.76242026,37,45,,,,,,2004
0_+3227+4674,5106182,3025,,,,,16994600,-14.512312,-59.76242026,37,55,,,,,,2004
0_+3227+4730,5105507,3080,,,,,13952750,-14.75934871,-59.76242026,37,55,,,,,,2004
0_+3227+4786,5105507,3080,,,,,14283500,-15.01087699,-59.76242026,37,59,,,,,,2004
0_+3227+4841,5105507,3025,,,,,15152711,-15.26240527,-59.76242026,81,47,,,,,,2004
0_+3227+4897,5106752,3080,,,,,15258600,-15.50944197,-59.76242026,81,44,,,,,,2004
0_+3227+4953,5106752,3080,,,,,19099100,-15.76097025,-59.76242026,81,43,,,,,,2004
0_+3283+3394,5103254,2464,,,,,6721600,-8.812501526,-59.51089198,36,32,,,,,,2004
0_+3283+3450,5103254,3136,,,,,8934000,-9.010130889,-59.51089198,37,34,,,,,,2004
0_+3283+3506,5103254,3136,,,,,6438000,-9.261659169,-59.51089198,37,47,,,,,,2004
0_+3283+3561,5103254,3080,,,,,9698000,-9.513187448,-59.51089198,37,30,,,,,,2004
0_+3283+3617,5103254,3136,,,,,18644300,-9.760224151,-59.51089198,46,23,,,,,,2004
0_+3283+3673,5101407,3136,,,,,18185500,-10.01175243,-59.51089198,37,30,,,,,,2004
0_+3283+3728,5101407,3080,,,,,18141100,-10.26328071,-59.51089198,37,30,,,,,,2004
0_+3283+3784,5101407,3136,,,,,7922070,-10.51031741,-59.51089198,60,45,,,,,,2004
0_+3283+3840,5105150,3136,,,,,13123234,-10.76184569,-59.51089198,58,45,,,,,,2004
0_+3283+3895,5105150,3080,,,,,14259726,-11.01337397,-59.51089198,37,39,,,,,,2004
0_+3283+3951,5105150,3136,,,,,14388597,-11.26041068,-59.51089198,38,39,,,,,,2004
0_+3283+4007,5105150,3136,,,,,20343960,-11.51193896,-59.51089198,38,37,,,,,,2004
0_+3283+4062,5105150,3080,,,,,19596852,-11.76346723,-59.51089198,50,39,,,,,,2004
0_+3283+4118,5105150,3136,,,,,11630520,-12.01050394,-59.51089198,50,33,,,,,,2004
0_+3283+4173,5105150,3080,,,,,8154080,-12.26203222,-59.51089198,58,33,,,,,,2004
0_+3283+4229,5103304,3136,,,,,19105875,-12.50906892,-59.51089198,58,22,,,,,,2004
0_+3283+4285,5103304,3136,,,,,16864680,-12.7605972,-59.51089198,58,22,,,,,,2004
0_+3283+4340,5103304,3080,,,,,16197090,-13.01212548,-59.51089198,58,30,,,,,,2004
0_+3283+4396,5103304,3136,,,,,14444373,-13.25916218,-59.51089198,50,22,,,,,,2004
0_+3283+4452,5103304,3136,0.241461234,70.99925559,226.4492556,120.9992556,14689532,-13.51069046,-59.51089198,50,22,0.241479188,69.82972417,225.2797242,119.8297242,0.241479188,2004
0_+3283+4507,5103304,3080,,,,,14367000,-13.76221874,-59.51089198,50,22,0.241339438,106.7258214,262.1758214,156.7258214,0.241339438,2004
0_+3283+4563,5106182,3136,,,,,15048000,-14.00925545,-59.51089198,50,31,,,,,,2004
0_+3283+4619,5106182,3136,,,,,17397200,-14.26078372,-59.51089198,50,42,,,,,,2004
0_+3283+4674,5106182,3080,,,,,17356900,-14.512312,-59.51089198,37,56,,,,,,2004
0_+3283+4730,5106182,3136,,,,,13685700,-14.75934871,-59.51089198,37,56,,,,,,2004
0_+3283+4786,5106752,3136,,,,,14344750,-15.01087699,-59.51089198,37,59,,,,,,2004
0_+3283+4897,5106752,3136,,,,,14239400,-15.50944197,-59.51089198,37,59,,,,,,2004
0_+3283+4953,5106752,3136,,,,,17831200,-15.76097025,-59.51089198,37,55,,,,,,2004
0_+3339+3394,5103254,2464,,,,,6187150,-8.812501526,-59.2593637,38,32,,,,,,2004
0_+3339+3450,5103254,3136,,,,,9097900,-9.010130889,-59.2593637,38,33,,,,,,2004
0_+3339+3506,5103254,3136,,,,,6653562,-9.261659169,-59.2593637,37,42,,,,,,2004
0_+3339+3561,5103254,3080,,,,,6809400,-9.513187448,-59.2593637,37,32,,,,,,2004
0_+3339+3617,5103254,3136,,,,,10838100,-9.760224151,-59.2593637,57,21,,,,,,2004
0_+3339+3673,5101407,3136,,,,,8572824,-10.01175243,-59.2593637,57,29,,,,,,2004
0_+3339+3728,5101407,3080,,,,,7784400,-10.26328071,-59.2593637,57,38,,,,,,2004
0_+3339+3784,5101407,3136,,,,,7313280,-10.51031741,-59.2593637,37,32,,,,,,2004
0_+3339+3840,5105150,3136,,,,,7537455,-10.76184569,-59.2593637,38,40,,,,,,2004
0_+3339+3895,5105150,3080,,,,,14454531,-11.01337397,-59.2593637,58,40,,,,,,2004
0_+3339+3951,5105150,3136,,,,,14529456,-11.26041068,-59.2593637,58,54,,,,,,2004
0_+3339+4007,5105150,3136,,,,,21093205,-11.51193896,-59.2593637,38,54,,,,,,2004
0_+3339+4062,5105150,3080,,,,,19868004,-11.76346723,-59.2593637,38,51,,,,,,2004
0_+3339+4118,5105150,3136,,,,,21396752,-12.01050394,-59.2593637,58,30,,,,,,2004
0_+3339+4173,5105150,3080,,,,,22727120,-12.26203222,-59.2593637,58,48,,,,,,2004
0_+3339+4229,5103304,3136,,,,,18425680,-12.50906892,-59.2593637,58,26,,,,,,2004
0_+3339+4285,5103304,3136,,,,,17014620,-12.7605972,-59.2593637,58,27,,,,,,2004
0_+3339+4340,5103304,3080,,,,,15863652,-13.01212548,-59.2593637,50,30,,,,,,2004
0_+3339+4396,5103304,3136,0.241719281,65.68394236,214.7082731,115.6839424,15211770,-13.25916218,-59.2593637,50,34,0.241785219,79.81662095,243.919406,129.816621,0.2417545,2004
0_+3339+4452,5103304,3136,0.241621984,79.61778127,237.778972,129.6177813,10205865,-13.51069046,-59.2593637,50,44,0.241626422,87.14087365,240.1298761,137.1408737,0.241621984,2004
0_+3339+4507,5103304,3080,0.241334906,71.76383953,246.6003789,121.7638395,16061500,-13.76221874,-59.2593637,50,63,0.241366594,89.70920479,249.4215784,139.7092048,0.2413485,2004
0_+3339+4563,5106182,3136,,,,,14655000,-14.00925545,-59.2593637,50,75,0.241138688,108.2271179,263.6771179,158.2271179,0.241138688,2004
0_+3339+4619,5106182,3136,0.240832297,25.6794969,189.6794969,75.6794969,16605000,-14.26078372,-59.2593637,50,43,0.240818219,86.87627528,235.3184762,136.8762753,0.240827609,2004
0_+3339+4674,5104771.5,3080,,,,,17381700,-14.512312,-59.2593637,37,56,,,,,,2004
0_+3339+4730,5106752,3136,,,,,13898850,-14.75934871,-59.2593637,37,56,0.240083,99.93873781,228.1387378,136.9387378,0.240083,2004
0_+3339+4786,5106752,3136,,,,,14236950,-15.01087699,-59.2593637,37,59,,,,,,2004
0_+3339+4841,5106752,6160,,,,,15508500,-15.26240527,-59.27283843,81,46,,,,,,2004
0_+3339+4897,5106752,3136,,,,,14065450,-15.50944197,-59.2593637,37,59,,,,,,2004
0_+3339+4953,5106828,3136,,,,,23462784,-15.76097025,-59.2593637,37,57,,,,,,2004
0_+3394+3394,5103379,2420,,,,,6041280,-8.812501526,-59.01232699,38,32,,,,,,2004
0_+3394+3450,5103316.5,3080,,,,,8357760,-9.010130889,-59.01232699,38,32,,,,,,2004
0_+3394+3506,5103254,3080,,,,,6393600,-9.261659169,-59.01232699,38,33,,,,,,2004
0_+3394+3561,5103379,3025,,,,,6867200,-9.513187448,-59.01232699,38,59,,,,,,2004
0_+3394+3617,5103254,3080,,,,,9088000,-9.760224151,-59.01232699,38,32,,,,,,2004
0_+3394+3673,5101407,3080,,,,,7837440,-10.01175243,-59.01232699,57,28,,,,,,2004
0_+3394+3728,5101407,3025,,,,,7439640,-10.26328071,-59.01232699,38,31,,,,,,2004
0_+3394+3784,5101407,3080,,,,,16337376,-10.51031741,-59.01232699,38,33,,,,,,2004
0_+3394+3840,5105150,3080,,,,,6771600,-10.76184569,-59.01232699,38,33,,,,,,2004
0_+3394+3895,5105150,3025,,,,,7788870,-11.01337397,-59.01232699,38,32,,,,,,2004
0_+3394+3951,5105150,3080,,,,,13459527,-11.26041068,-59.01232699,38,47,,,,,,2004
0_+3394+4007,5105150,3080,,,,,14757228,-11.51193896,-59.01232699,58,40,,,,,,2004
0_+3394+4062,5105150,3025,,,,,14229756,-11.76346723,-59.01232699,38,40,,,,,,2004
0_+3394+4118,5105150,3080,,,,,22526712,-12.01050394,-59.01232699,58,26,,,,,,2004
0_+3394+4173,5105150,3025,,,,,22262344,-12.26203222,-59.01232699,58,21,,,,,,2004
0_+3394+4229,5103304,3080,,,,,21308196,-12.50906892,-59.01232699,58,20,,,,,,2004
0_+3394+4285,5103304,3080,,,,,21361656,-12.7605972,-59.01232699,58,34,,,,,,2004
0_+3394+4340,5102686,3025,0.241937813,67.17014766,230.6201477,125.1701477,17472000,-13.01212548,-59.01232699,58,48,0.242067187,86.59901313,246.802596,144.5990131,0.242067187,2004
0_+3394+4396,5105280.5,3080,0.241701641,69.08354517,232.0407649,119.0835452,10686780,-13.25916218,-59.01232699,50,38,0.241877,86.74092784,239.1040769,136.7409278,0.241877,2004
0_+3394+4452,5107875,3080,0.241635281,65.76747057,221.3855461,115.7674706,14389440,-13.51069046,-59.01232699,50,38,0.241626422,89.20898103,247.8293842,139.208981,0.241630859,2004
0_+3394+4507,5105280.5,3025,0.241375641,73.53563364,232.4065057,123.5356336,16357692,-13.76221874,-59.01232699,50,52,0.241375641,85.56834023,246.0995374,135.5683402,0.241375641,2004
0_+3394+4563,5107958,3080,0.241124906,90.54146454,224.0703587,140.5414645,16478000,-14.00925545,-59.01232699,50,76,0.2411295,76.33606781,240.2052495,126.3360678,0.2411295,2004
0_+3394+4619,5107958,3080,0.240855734,80.78390186,236.2339019,130.7839019,16448600,-14.26078372,-59.01232699,50,43,0.240879125,87.52395137,242.9739514,137.5239514,0.240879125,2004
0_+3394+4674,5108352,3025,,,,,13920900,-14.512312,-59.01232699,50,43,,,,,,2004
0_+3394+4730,5108352,3080,,,,,13825350,-14.75934871,-59.01232699,37,56,,,,,,2004
0_+3394+4786,5108352,3080,,,,,8951250,-15.01087699,-59.01232699,36,54,,,,,,2004
0_+3394+4841,5108352,3025,,,,,9510600,-15.26240527,-59.01232699,36,60,,,,,,2004
0_+3394+4897,5106828,3080,,,,,21742500,-15.50944197,-59.01232699,37,57,,,,,,2004
0_+3394+4953,5106828,3080,,,,,21738750,-15.76097025,-59.01232699,37,57,,,,,,2004
0_+3450+3394,5103379,2464,,,,,7185696,-8.812501526,-58.76079871,39,34,,,,,,2004
0_+3450+3450,5103379,3136,,,,,8344320,-9.010130889,-58.76079871,38,32,,,,,,2004
0_+3450+3506,5103379,3136,,,,,6041280,-9.261659169,-58.76079871,38,32,,,,,,2004
0_+3450+3561,5103379,3080,,,,,8756000,-9.513187448,-58.76079871,38,32,,,,,,2004
0_+3450+3617,5103379,3136,,,,,9716000,-9.760224151,-58.76079871,38,29,,,,,,2004
0_+3450+3673,5105176,3136,,,,,9568000,-10.01175243,-58.76079871,38,29,,,,,,2004
0_+3450+3728,5105176,3080,,,,,8379360,-10.26328071,-58.76079871,38,31,,,,,,2004
0_+3450+3784,5105150,3136,,,,,8439200,-10.51031741,-58.76079871,38,31,,,,,,2004
0_+3450+3840,5105150,3136,,,,,7633440,-10.76184569,-58.76079871,38,33,,,,,,2004
0_+3450+3895,5105150,3080,,,,,7455870,-11.01337397,-58.76079871,38,49,,,,,,2004
0_+3450+3951,5105150,3136,,,,,13546440,-11.26041068,-58.76079871,38,44,,,,,,2004
0_+3450+4007,5105150,3136,,,,,13498488,-11.51193896,-58.76079871,38,51,,,,,,2004
0_+3450+4062,5105150,3080,,,,,14423636,-11.76346723,-58.76079871,58,44,,,,,,2004
0_+3450+4118,5107875,3136,,,,,22831640,-12.01050394,-58.76079871,58,27,,,,,,2004
0_+3450+4173,5107875,3080,,,,,22356880,-12.26203222,-58.76079871,58,28,,,,,,2004
0_+3450+4229,5107875,3136,0.242422453,60.96218282,224.4121828,118.9621828,22198384,-12.50906892,-58.76079871,58,29,0.242430797,74.51917059,246.0089432,132.5191706,0.242430797,2004
0_+3450+4285,5107875,3136,0.242279891,23.46624059,195.4662406,81.46624059,22248980,-12.7605972,-58.76079871,58,40,0.242330406,73.766515,239.264613,131.766515,0.242330406,2004
0_+3450+4396,5107875,3136,0.241829,55.32118192,220.7232371,113.3211819,20263620,-13.25916218,-58.76079871,58,40,0.241863922,72.16494085,241.0038646,130.1649408,0.241837734,2004
0_+3450+4452,5107875,3136,0.241635281,57.82229355,218.6696779,107.8222935,20418996,-13.51069046,-58.76079871,50,50,0.241626422,80.27335517,243.1447014,130.2733552,0.241630859,2004
0_+3450+4507,5107875,3080,0.241384672,77.93119045,237.2409404,127.9311905,16147040,-13.76221874,-58.76079871,50,50,0.241375641,106.238697,269.1864241,156.238697,0.241384672,2004
0_+3450+4563,5107958,3136,,,,,16474640,-14.00925545,-58.76079871,50,48,,,,,,2004
0_+3450+4619,5107958,3136,,,,,17071950,-14.26078372,-58.76079871,50,55,,,,,,2004
0_+3450+4674,5108352,3080,0.240490844,90.7503515,223.4003515,140.7503515,12938450,-14.512312,-58.76079871,50,28,0.240514797,83.53939754,238.9893975,133.5393975,0.240514797,2004
0_+3450+4730,5108352,3136,,,,,12737550,-14.75934871,-58.76079871,50,32,,,,,,2004
0_+3450+4786,5108352,3136,,,,,8921550,-15.01087699,-58.76079871,36,55,,,,,,2004
0_+3450+4841,5108352,3080,,,,,11000544,-15.26240527,-58.76079871,56,36,,,,,,2004
0_+3450+4897,5106828,3136,,,,,12490752,-15.50944197,-58.76079871,56,40,,,,,,2004
0_+3450+4953,5106828,3136,,,,,20066250,-15.76097025,-58.76079871,37,57,,,,,,2004
0_+3506+3394,5106158,2464,,,,,7060032,-8.812501526,-58.50927043,38,38,,,,,,2004
0_+3506+3450,5106158,3136,,,,,6958848,-9.010130889,-58.50927043,38,32,,,,,,2004
0_+3506+3506,5106158,3136,,,,,7472928,-9.261659169,-58.50927043,57,32,,,,,,2004
0_+3506+3561,5103379,3080,,,,,7412000,-9.513187448,-58.50927043,38,32,,,,,,2004
0_+3506+3617,5103379,3136,,,,,7670400,-9.760224151,-58.50927043,38,32,,,,,,2004
0_+3506+3673,5105176,3136,,,,,9696000,-10.01175243,-58.50927043,38,31,,,,,,2004
0_+3506+3728,5105176,3080,,,,,7405320,-10.26328071,-58.50927043,38,31,,,,,,2004
0_+3506+3784,5105176,3136,,,,,7388160,-10.51031741,-58.50927043,38,32,,,,,,2004
0_+3506+3840,5102850,3136,,,,,7112080,-10.76184569,-58.50927043,38,33,,,,,,2004
0_+3506+3895,5102850,3080,,,,,13684788,-11.01337397,-58.50927043,38,49,,,,,,2004
0_+3506+3951,5105150,3136,,,,,13714272,-11.26041068,-58.50927043,38,51,,,,,,2004
0_+3506+4007,5105150,3136,,,,,14278004,-11.51193896,-58.50927043,38,52,,,,,,2004
0_+3506+4062,5105150,3080,,,,,13868414,-11.76346723,-58.50927043,38,51,,,,,,2004
0_+3506+4118,5107875,3136,,,,,23058672,-12.01050394,-58.50927043,58,34,,,,,,2004
0_+3506+4173,5107875,3080,,,,,22722336,-12.26203222,-58.50927043,58,29,,,,,,2004
0_+3506+4229,5107875,3136,,,,,22460464,-12.50906892,-58.50927043,58,29,0.242476516,80.77849421,244.2284942,138.7784942,0.242476516,2004
0_+3506+4285,5107875,3136,0.242258797,67.31209636,227.9938295,125.3120964,22330984,-12.7605972,-58.50927043,58,40,0.242267234,77.45398089,243.1268722,135.4539809,0.242263016,2004
0_+3506+4340,5107875,3080,0.242088625,67.62964633,230.7110456,125.6296463,21036184,-13.01212548,-58.50927043,58,40,0.242114297,74.52535937,243.8370265,132.5253594,0.242110016,2004
0_+3506+4396,5107875,6216,0.241863922,62.10757166,226.9020114,120.1075717,21040500,-13.02560021,-58.52274516,58,40,0.242058609,82.77011917,242.8047832,140.7701192,0.242054313,2004
0_+3506+4452,5107875,3136,0.241635281,47.81629899,217.2047108,105.816299,20794488,-13.51069046,-58.50927043,58,55,0.241626422,87.85540492,246.2225005,145.8554049,0.241630859,2004
0_+3506+4507,5107875,3080,0.241380156,68.82508752,224.2750875,118.8250875,19102616,-13.76221874,-58.50927043,50,44,0.241384672,83.47684645,244.4486755,133.4768464,0.241384672,2004
0_+3506+4563,5107958,3136,,,,,20446635,-14.00925545,-58.50927043,50,37,,,,,,2004
0_+3506+4619,5107958,3136,,,,,17830250,-14.26078372,-58.50927043,50,48,,,,,,2004
0_+3506+4674,5107958,3080,0.240533938,86.89685946,234.8450013,136.8968595,20767551,-14.512312,-58.50927043,50,38,0.240581687,92.96091481,247.1722567,142.9609148,0.240581687,2004
0_+3506+4730,5107958,3136,,,,,10029492,-14.75934871,-58.50927043,57,32,,,,,,2004
0_+3506+4786,5105002,3136,,,,,8879100,-15.01087699,-58.50927043,56,32,,,,,,2004
0_+3506+4841,5104500,3080,,,,,9243200,-15.26240527,-58.50927043,56,42,,,,,,2004
0_+3506+4897,5107107,3136,,,,,9997632,-15.50944197,-58.50927043,56,44,,,,,,2004
