count,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,single_delay,single_harvest,single_plant,total_planted_area_km2,year
3136,,,,6041280,-9.376194367,-58.87533391,38,,,,,2004
3080,,,,8756000,-9.625476859,-58.87533391,38,,,,,2004
3136,,,,9716000,-9.87475935,-58.87533391,38,,,,,2004
3136,,,,9568000,-10.12628763,-58.87533391,38,,,,,2004
3080,,,,8379360,-10.37557012,-58.87533391,38,,,,,2004
3136,,,,8439200,-10.62485261,-58.87533391,38,,,,,2004
3136,,,,7633440,-10.87638089,-58.87533391,38,,,,,2004
3080,,,,7455870,-11.12566338,-58.87533391,38,,,,,2004
3136,,,,13546440,-11.37494587,-58.87533391,38,,,,,2004
3136,,,,13498488,-11.62647415,-58.87533391,38,,,,,2004
3080,,,,14423636,-11.87575665,-58.87533391,58,,,,,2004
3136,,,,22831640,-12.12503914,-58.87533391,58,,,,,2004
3080,,,,22356880,-12.37432163,-58.87533391,58,,,,,2004
3136,30.57455252,196.8520544,88.57455252,22198384,-12.62360412,-58.87533391,58,63.11896581,225.7867455,121.1189658,0.242397422,2004
3136,23.12269465,195.1226946,81.12269465,22248980,-12.8751324,-58.87533391,58,61.50051633,225.6325269,119.5005163,0.242237641,2004
3136,25.77153724,200.2868397,83.77153724,20263620,-13.37369738,-58.87533391,58,56.37590195,221.8007615,114.3759019,0.241719281,2004
3136,30.79820944,196.1923995,80.79820944,20418996,-13.62522566,-58.87533391,50,63.28701441,222.1998719,113.2870144,0.241528438,2004
3080,42.69941407,207.744985,92.69941407,16147040,-13.87450815,-58.87533391,50,72.40089362,229.6745302,122.4008936,0.241275875,2004
3136,,,,16474640,-14.12379064,-58.87533391,50,,,,,2004
3136,,,,17071950,-14.37531892,-58.87533391,50,,,,,2004
3080,90.7503515,223.4003515,140.7503515,12938450,-14.62460141,-58.87533391,50,69.45302138,224.9030214,119.4530214,0.240505234,2004
3136,,,,12737550,-14.87388391,-58.87533391,50,,,,,2004
3136,,,,8921550,-15.12541219,-58.87533391,36,,,,,2004
3080,,,,11000544,-15.37469468,-58.87533391,56,,,,,2004
3136,,,,12490752,-15.62397717,-58.87533391,56,,,,,2004
3136,,,,20066250,-15.87550545,-58.87533391,37,,,,,2004
2464,,,,7060032,-8.900087267,-58.62380563,38,,,,,2004
3136,,,,6958848,-9.124666088,-58.62380563,38,,,,,2004
3136,,,,7472928,-9.376194367,-58.62380563,57,,,,,2004
3080,,,,7412000,-9.625476859,-58.62380563,38,,,,,2004
3136,,,,7670400,-9.87475935,-58.62380563,38,,,,,2004
3136,,,,9696000,-10.12628763,-58.62380563,38,,,,,2004
3080,,,,7405320,-10.37557012,-58.62380563,38,,,,,2004
3136,,,,7388160,-10.62485261,-58.62380563,38,,,,,2004
3136,,,,7112080,-10.87638089,-58.62380563,38,,,,,2004
3080,,,,13684788,-11.12566338,-58.62380563,38,,,,,2004
3136,,,,13714272,-11.37494587,-58.62380563,38,,,,,2004
3136,,,,14278004,-11.62647415,-58.62380563,38,,,,,2004
3080,,,,13868414,-11.87575665,-58.62380563,38,,,,,2004
3136,,,,23058672,-12.12503914,-58.62380563,58,,,,,2004
3080,,,,22722336,-12.37432163,-58.62380563,58,,,,,2004
