system:index,Muni_code_median,Muni_code_sum,count,double_area_km2_median,double_area_km2_sum,double_delay_median,double_delay_sum,double_harvest_median,double_harvest_sum,double_plant_median,double_plant_sum,label,latitude_median,latitude_sum,longitude_median,longitude_sum,onset_historicalRange_median,onset_historicalRange_sum,onset_median,onset_sum,single_area_km2_median,single_area_km2_sum,single_delay_median,single_delay_sum,single_harvest_median,single_harvest_sum,single_plant_median,single_plant_sum,total_planted_area_km2_median,total_planted_area_km2_sum,year_median,year_sum
0_+3450+3617,5103379,1.60E+10,3136,,0,,0,,0,,0,9716000,-9.87475935,-30967.24532,-58.87533391,-184633.0471,29,90944,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+3673,5101407,1.60E+10,3136,,0,,0,,0,,0,9568000,-10.12628763,-31756.03801,-58.87533391,-184633.0471,29,90944,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+3728,5101407,1.57E+10,3080,,0,,0,,0,,0,8379360,-10.37557012,-31956.75597,-58.87533391,-181336.0284,31,95480,38,117040,,0,,0,,0,,0,,0,2004,6172320
0_+3450+3784,5101407,1.60E+10,3136,,0,,0,,0,,0,8439200,-10.62485261,-33319.53779,-58.87533391,-184633.0471,31,97216,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+3840,5102850,1.60E+10,3136,,0,,0,,0,,0,7633440,-10.87638089,-34108.33048,-58.87533391,-184633.0471,33,103488,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+3895,5105150,1.57E+10,3080,,0,,0,,0,,0,7455870,-11.12566338,-34267.04322,-58.87533391,-181336.0284,49,150920,38,117040,,0,,0,,0,,0,,0,2004,6172320
0_+3450+3951,5105150,1.60E+10,3136,,0,,0,,0,,0,13546440,-11.37494587,-35671.83026,-58.87533391,-184633.0471,44,137984,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4007,5105150,1.60E+10,3136,,0,,0,,0,,0,13498488,-11.62647415,-36460.62295,-58.87533391,-184633.0471,51,159936,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4062,5105150,1.57E+10,3080,,0,,0,,0,,0,14423636,-11.87575665,-36577.33047,-58.87533391,-181336.0284,44,135520,58,178640,,0,,0,,0,,0,,0,2004,6172320
0_+3450+4118,5105150,1.60E+10,3136,,0,,0,,0,,0,22831640,-12.12503914,-38024.12273,-58.87533391,-184633.0471,27,84672,58,181888,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4173,5103304,1.57E+10,3080,,0,,0,,0,,0,22356880,-12.37432163,-38112.91061,-58.87533391,-181336.0284,28,86240,58,178640,,0,,0,,0,,0,,0,2004,6172320
0_+3450+4229,5107875,1.60E+10,3136,0.242416211,1.454488891,30.57455252,203.784567,196.8520544,1224.384567,88.57455252,551.784567,22198384,-12.62360412,-39587.62252,-58.87533391,-184633.0471,29,90944,58,181888,0.242389063,6.302274125,63.11896581,1581.855948,225.7867455,5825.855948,121.1189658,3089.855948,0.242397422,7.756763016,2004,6284544
0_+3450+4285,5107875,1.60E+10,3136,0.242277781,0.484555563,23.12269465,46.2453893,195.1226946,390.2453893,81.12269465,162.2453893,22248980,-12.8751324,-40376.4152,-58.87533391,-184633.0471,40,125440,58,181888,0.242233406,8.236280844,61.50051633,2049.384123,225.6325269,7643.734123,119.5005163,4021.384123,0.242237641,8.720836406,2004,6284544
0_+3450+4396,5107875,1.60E+10,3136,0.241714875,107.324779,25.77153724,12480.46324,200.2868397,88822.81324,83.77153724,38232.46324,20263620,-13.37369738,-41939.91499,-58.87533391,-184633.0471,40,125440,58,181888,0.241734703,37.22753902,56.37590195,8085.178964,221.8007615,33880.62896,114.3759019,17017.17896,0.241719281,144.552318,2004,6284544
0_+3450+4452,5107875,1.60E+10,3136,0.241532906,146.608562,30.79820944,19186.08673,196.1923995,119058.9867,80.79820944,49536.08673,20418996,-13.62522566,-42728.70767,-58.87533391,-184633.0471,50,156800,50,156800,0.241528438,57.24000306,63.28701441,14094.23724,222.1998719,52415.03724,113.2870144,25944.23724,0.241528438,203.8485651,2004,6284544
