label,p1_lowerBoundError,p1_upperBoundError
-84309135,42.31364824,21.31364824
-84169896,6.708633401,-29.2913666
-84178879,5.401838452,-30.59816155
-84187863,13.69727189,-17.30272811
-84196846,6.344759993,-24.65524001
-84205829,8.290519531,-22.70948047
-84214812,7.553539471,-23.44646053
-84223795,11.71203271,-9.287967287
-84232778,23.9625783,-2.037421704
-84241762,24.44020297,2.440202972
-84250745,7.34462399,-14.65537601
-84259728,13.64821861,-8.351781386
-84268711,28.99922673,6.99922673
-84277694,18.72747319,-7.272526808
-84286677,8.026732007,-12.97326799
-84174388,8.462303142,-27.53769686
-84210321,6.756076021,-24.24392398
-84219304,13.15036437,-17.84963563
-84228287,14.12658767,-16.87341233
-84237270,25.86506263,-5.134937365
-84246254,22.07237844,0.072378436
-84255237,13.59622866,-8.403771338
-84264220,17.7470784,-4.252921599
-84273203,31.78070117,9.780701173
-84282186,26.05071632,0.050716323
-84291169,24.32805316,3.328053155
-84178879,2.630868052,-28.36913195
-84187862,7.120588576,-23.87941142
-84205829,39.41467963,-4.585320375
-84214812,46.15167425,2.151674254
-84223795,44.43574371,0.435743706
-84232778,49.83516705,5.835167055
-84241761,23.53576221,-7.464237794
-84250745,23.68789459,-7.312105408
-84259728,15.30061966,-15.69938034
-84268711,25.65869089,3.658690888
-84277694,14.31255382,-11.68744618
-84286677,29.20440091,3.204400909
-84295660,13.75731653,-7.242683468
-84331593,28.38712516,-2.612874839
-84340576,28.16533135,-2.834668646
-84192354,23.23416614,-11.76583386
-84210321,20.52604214,-23.47395786
-84219304,31.71047456,-12.28952544
-84228287,38.81590802,8.815908024
-84237270,42.64498294,12.64498294
-84246253,14.60590344,-16.39409656
-84255237,20.39199958,-10.60800042
-84264220,16.82735972,-14.17264028
-84273203,11.61926048,-19.38073952
-84282186,7.631925393,-18.36807461
-84291169,0.224546433,-25.77545357
-84300152,34.02205802,3.022058022
-84327102,5.113745742,-25.88625426
-84336085,20.56426871,-10.43573129
-84345068,20.36578332,-10.63421668
-84354051,18.28813025,-12.71186975
-84205829,40.43363881,-3.566361185
-84223795,41.19548448,11.19548448
-84232778,43.82500628,13.82500628
-84241761,48.85558638,18.85558638
-84250744,48.32047292,18.32047292
-84259728,34.27043631,-0.729563689
-84268711,24.16578227,-10.83421773
-84286677,11.42350537,-19.57649463
-84313626,4.664111189,-26.33588881
-84322610,13.19806657,-17.80193343
-84331593,12.56047637,-18.43952363
-84340576,13.26338882,-17.73661118
-84349559,13.18489824,-17.81510176
-84358542,19.28150178,-11.71849822
-84210321,22.35711738,-12.64288262
-84219304,49.69467351,19.69467351
-84228287,53.16137385,23.16137385
-84237270,53.40317054,23.40317054
-84246253,36.95417417,6.954174172
-84255236,47.90645166,17.90645166
-84264220,31.78030034,-3.219699663
-84273203,28.43822121,-6.561778794
-84282186,13.3028288,-17.6971712
-84291169,12.71044038,-18.28955962
-84300152,8.963279405,-22.03672059
-84309135,10.13008684,-20.86991316
-84318118,10.39523366,-20.60476634
-84327102,12.13212745,-18.86787255
-84336085,11.0423978,-19.9576022
-84354051,10.08281564,-25.91718436
