h1_lowerBoundError,h1_upperBoundError,label
17.69727189,-8.302728114,-84187863
0.462578296,-22.5374217,-84232778
6.686789961,-21.31321004,-84277694
3.44719857,-11.55280143,-84295660
16.46230314,-9.537696858,-84174388
11.90004269,-11.09995731,-84237270
12.18995539,-15.81004461,-84282186
9.808886417,-18.19111358,-84241761
0.187894592,-27.81210541,-84250745
15.38971024,-18.61028976,-84277694
19.66112879,-8.338871212,-84286677
15.0947782,-12.9052218,-84340576
16.23416614,-28.76583386,-84192354
1.658294942,-26.34170506,-84246253
6.476642375,-21.52335763,-84255237
24.21471452,-9.785285484,-84273203
20.63192539,-5.368074607,-84282186
24.35126529,-1.648734705,-84291169
3.374078344,-24.62592166,-84318119
18.13443507,-9.865564931,-84327102
2.064268709,-25.93573129,-84336085
1.865783316,-26.13421668,-84345068
3.056087371,-24.94391263,-84354051
1.828499353,-26.17150065,-84259728
19.43038794,-11.56961206,-84268711
17.40106482,-13.59893518,-84277694
19.42350537,-6.576494634,-84286677
19.29664504,-6.703354956,-84295660
8.218380064,-28.78161994,-84313626
9.196424422,-22.80357558,-84322610
10.14586261,-26.85413739,-84331593
1.598827946,-26.40117205,-84340576
7.967838434,-25.03216157,-84349559
9.503161147,-23.49683885,-84358542
15.35711738,-38.64288262,-84210321
13.43822121,-17.56177879,-84273203
18.3028288,-12.6971712,-84282186
17.71044038,-13.28955962,-84291169
17.82193731,-8.178062694,-84300152
18.86043654,-7.139563465,-84309135
11.04981181,-25.95018819,-84318118
8.305119858,-28.69488014,-84327102
8.522852553,-24.47714745,-84372017
6.626676199,-26.3733238,-84381001
9.392377106,-23.60762289,-84389984
16.17078958,-37.82921042,-84223795
15.45179292,-15.54820708,-84286677
0.466453307,-27.53354669,-84295660
8.037579109,-19.96242089,-84304643
8.453253675,-19.54674632,-84313626
9.919261715,-27.08073829,-84322609
3.675984288,-33.32401571,-84331593
18.42662841,-14.57337159,-84385492
20.08491374,-24.91508626,-84228287
16.12734753,-24.87265247,-84237270
16.41624867,-24.58375133,-84246253
15.85616166,-25.14383834,-84255236
16.8064803,-28.1935197,-84264219
8.484078037,-27.51592196,-84282186
10.19323992,-20.80676008,-84291169
20.88287747,-24.11712253,-84232779
14.01337318,-30.98662682,-84241762
13.85612706,-27.14387294,-84250745
14.43105871,-26.56894129,-84259728
15.25618827,-25.74381173,-84268711
9.754344778,-26.24565522,-84286678
6.910025829,-29.08997417,-84264219
12.41168565,-23.58831435,-84273202
9.184685612,-42.81531439,-84291169
9.802259235,-15.19774077,-79080940
1.718924493,-21.28107551,-79089924
3.048579835,-21.95142016,-79098907
12.4644782,-12.5355218,-79085431
8.105562938,-16.89443706,-79094415
3.13922034,-24.86077966,-79103398
10.61116325,-17.38883675,-79112381
15.37550977,-12.62449023,-79121364
5.265256466,-15.73474353,-79089923
1.801757078,-19.19824292,-79098907
7.58463892,-20.41536108,-79116873
4.660168086,-23.33983191,-79125856
0.682416357,-27.31758364,-79134839
34.96945358,-9.030546425,-79085432
2.647778182,-18.35222182,-79094415
2.437603001,-18.562397,-79103399
0.809528057,-20.19047194,-79112382
1.13842652,-19.86157348,-79121365
