h1_lowerBoundError,h1_upperBoundError,label
14.41116325,-13.58883675,-79112381
15.93983606,-12.06016394,-79121364
5.038635119,-15.96136488,-79089923
1.43350916,-19.56649084,-79098907
1.050076643,-19.94992336,-79107890
8.434204077,-19.56579592,-79116873
8.460168086,-19.53983191,-79125856
4.682416357,-23.31758364,-79134839
34.4493959,-9.550604102,-79085432
2.625077708,-18.37492229,-79094415
2.192410182,-18.80758982,-79103399
1.295661605,-19.70433839,-79112382
1.458275852,-19.54172415,-79121365
18.75667575,-9.243324248,-79053991
3.438050445,-24.56194955,-79062974
26.84442145,-17.15557855,-79089923
2.29107584,-18.70892416,-79098906
12.82165895,-8.17834105,-79116873
0.21403303,-20.78596697,-79125856
37.05518008,9.055180078,-79058483
22.04487722,-5.955122784,-79067466
39.33232455,-4.667675449,-79085432
34.03837426,-9.961625735,-79094415
14.65815696,1.658156962,-79112382
38.38610532,-5.613894678,-79089923
36.4624865,-7.537513503,-79098906
20.87155096,-0.128449041,-79107889
15.69668053,-0.303319471,-79116873
13.45824939,-33.54175061,-79058482
16.84237347,0.842373468,-79103398
13.93819268,-2.061807319,-79112381
25.28493413,9.28493413,-79121365
24.18823291,-22.81176709,-79071957
40.71097917,-6.289020833,-79080940
15.34545428,-31.65454572,-79089923
18.72575587,-7.274244125,-79107889
29.08043369,3.08043369,-79116872
33.40589714,7.40589714,-79125856
28.52159062,-18.47840938,-79067465
27.23192931,-19.76807069,-79076449
31.94690028,-15.05309972,-79085432
22.82913232,-24.17086768,-79094415
39.1914956,-7.808504399,-79103398
25.34572362,-21.65427638,-79089924
28.25136323,-11.74863677,-79098907
27.24017242,-12.75982758,-79107890
28.90841599,-6.091584006,-79125856
14.20476735,-20.79523265,-79134840
5.75316333,-22.24683667,-79103398
13.25610043,-14.74389957,-79112381
9.937987797,-18.0620122,-79121364
12.77207226,-22.22792774,-79130347
76.70421476,36.70421476,-79139331
59.40673123,19.40673123,-79157297
18.25439629,-9.74560371,-79107890
13.52513692,-14.47486308,-79116873
57.89265001,17.89265001,-79161789
18.42210426,-9.577895736,-79112381
23.37600632,-7.623993676,-79116873
25.64422222,-8.355777784,-79125856
26.74986727,-3.250132733,-79202213
28.53456235,-1.465437647,-79206704
14.41201734,-15.58798266,-79220179
17.49397139,-21.50602861,-79179755
7.425504582,-22.57449542,-79224670
5.346573957,-7.653426043,-79143822
22.32892834,-14.67107166,-84214812
34.62397169,-8.376028307,-84156422
45.07020436,2.070204361,-84174388
16.60304147,-23.39695853,-84183371
22.8712157,-17.1287843,-84192355
30.84217683,-9.157823166,-84210321
22.15168392,-17.84831608,-84219304
39.09337428,17.09337428,-84264220
23.24041534,-19.75958466,-84160913
25.67049188,-17.32950812,-84178879
14.97457001,-25.02542999,-84187862
9.678092534,-30.32190747,-84196846
9.900324764,-30.09967524,-84205829
8.379085833,-31.62091417,-84214812
18.54172725,-21.45827275,-84223795
38.98557416,7.985574158,-84232778
18.05472683,-24.94527317,-84165405
22.09867099,-20.90132901,-84174388
