label,p1_lowerBoundError,p1_upperBoundError
-84479815,4.614903456,-19.38509654
-84358543,13.12967157,-5.87032843
-84367526,16.68568535,-2.314314651
-84394475,23.07012278,4.070122775
-84403458,6.72779733,-25.27220267
-84430408,6.464624248,-19.53537575
-84439391,18.69525008,-7.304749922
-84466341,9.300796423,-14.69920358
-84484307,5.17785668,-18.82214332
-84493290,6.076876882,-17.92312312
-84345067,18.16307038,-10.83692962
-84354051,9.87986923,-19.12013077
-84363034,19.38200841,-9.617991593
-84372017,11.40781367,-9.592186335
-84381000,9.409340163,-11.59065984
-84389983,8.501587624,-12.49841238
-84398966,9.097409941,-22.90259006
-84407949,11.05326715,-20.94673285
-84416933,10.63347549,-21.36652451
-84425916,9.781214234,-16.21878577
-84434899,2.854775457,-23.14522454
-84443882,6.311354521,-19.68864548
-84452865,4.680040631,-16.31995937
-84470832,10.87853667,-13.12146333
-84479815,7.764667543,-16.23533246
-84488798,5.526371492,-18.47362851
-84497781,6.008376754,-17.99162325
-84506764,39.46888163,15.46888163
-84349559,14.14916961,-14.85083039
-84358543,17.06808169,-11.93191831
-84367526,21.27565068,-7.724349317
-84376509,11.81428181,-9.185718191
-84385492,11.56509696,-9.434903044
-84394475,11.38462127,-9.615378734
-84403458,9.037757707,-22.96224229
-84421425,6.322862215,-19.67713778
-84430408,11.26238052,-14.73761948
-84448374,9.889449603,-16.1105504
-84457357,6.804969006,-19.19503099
-84475324,6.984417864,-19.01558214
-84484307,13.44236301,-10.55763699
-84493290,10.18338452,-13.81661548
-84502273,9.111863112,-14.88813689
-84363035,13.62228745,-15.37771255
-84372018,15.63067782,-13.36932218
-84381001,21.33300165,-7.666998351
-84389984,6.653269663,-14.34673034
-84398967,9.375931547,-11.62406845
-84407950,5.997802645,-26.00219735
-84434900,3.892633719,-22.10736628
-84443883,6.252049327,-19.74795067
-84452866,7.631242444,-18.36875756
-84461849,12.42961774,-14.57038226
-84470832,10.22181199,-16.77818801
-84479816,10.97499221,-16.02500779
-84506765,7.838631441,-16.16136856
-84515748,9.982737452,-14.01726255
-84358542,17.76168967,-11.23831033
-84403458,7.711792563,-13.28820744
-84412441,6.619038549,-25.38096145
-84439391,12.28412878,-18.71587122
-84475323,9.347338716,-21.65266128
-84484307,13.36286892,-17.63713108
-84493290,13.08157962,-10.91842038
-84511256,12.06112447,-11.93887553
-84381001,12.30686617,-16.69313383
-84398967,40.25585913,19.25585913
-84407950,11.09884586,-9.901154138
-84416933,16.1059744,-15.8940256
-84434900,15.52731472,-15.47268528
-84443883,8.89322055,-22.10677945
-84479815,15.99291156,-15.00708844
-84488799,24.48664776,-6.513352238
-84497782,19.99541727,-4.004582728
-84506765,1.445671227,-22.55432877
-84484306,18.5772752,-12.4227248
-84493290,54.82166835,23.82166835
-84502273,15.33588709,-15.66411291
-84488798,16.87472926,-14.12527074
-84497782,29.60511636,-1.394883638
-84466340,32.96879616,-24.03120384
-84452866,42.4840606,-2.515939401
-84461849,39.48904214,-17.51095786
-84470832,41.96085419,-15.03914581
