system:index,bucketMean,count,year,.geo
2_84,84.46320546,28,2005,
2_85,85.43470431,17,2005,
2_86,86.49249363,18,2005,
2_87,87.534892,20,2005,
2_88,88.51349005,25,2005,
2_89,89.47459624,22,2005,
2_90,90.38709771,17,2005,
2_91,91.4349212,26,2005,
2_92,92.5541616,19,2005,
2_93,93.4130341,24,2005,
2_94,94.42353114,29,2005,
2_95,95.5155145,27,2005,
2_96,96.49283945,21,2005,
2_97,97.40720862,11,2005,
2_98,98.49175504,22,2005,
2_99,99.56485285,17,2005,
2_100,100.4605589,27,2005,
2_101,101.5635439,32,2005,
2_102,102.4294473,27,2005,
2_103,103.4646935,20,2005,
2_104,104.5268521,15,2005,
2_105,105.463109,12,2005,
2_106,106.5547468,13,2005,
2_107,107.5580664,9,2005,
2_108,108.5596542,14,2005,
2_109,109.5874282,15,2005,
2_110,110.4027633,10,2005,
2_111,111.4937394,11,2005,
2_112,112.2370346,12,2005,
2_113,113.4096211,12,2005,
2_114,114.4957626,14,2005,
2_115,115.4939739,13,2005,
2_116,116.4558016,13,2005,
2_117,117.4868859,15,2005,
2_118,118.4362374,12,2005,
2_119,119.3090066,6,2005,
2_120,120.6741417,8,2005,
2_121,121.7191121,5,2005,
2_122,122.3961207,4,2005,
2_123,123.5310876,5,2005,
2_124,124.4740467,6,2005,
2_125,125.7325177,5,2005,
2_126,126.4461049,6,2005,
2_127,127.395348,4,2005,
2_128,128.0516645,1,2005,
2_129,129.5,0,2005,
2_130,130.4491768,5,2005,
2_131,131.5,0,2005,
2_132,132.651966,3,2005,
2_133,133.5,0,2005,
2_134,134.2588566,1,2005,
2_135,135.6335229,2,2005,
2_136,136.5,0,2005,
2_137,137.9779871,1,2005,
2_138,138.5,0,2005,
2_139,139.5,0,2005,
2_140,140.5,0,2005,
2_141,141.5,0,2005,
2_142,142.5,0,2005,
2_143,143.4356083,1,2005,
2_144,144.4488869,1,2005,
2_145,145.5,0,2005,
2_146,146.5,0,2005,
2_147,147.5,0,2005,
2_148,148.5,0,2005,
2_149,149.5,0,2005,
2_150,150.5,0,2005,
2_151,151.5,0,2005,
2_152,152.5,0,2005,
2_153,153.5,0,2005,
2_154,154.5,0,2005,
2_155,155.5,0,2005,
2_156,156.5,0,2005,
2_157,157.5,0,2005,
2_158,158.5,0,2005,
2_159,159.5,0,2005,
2_160,160.5,0,2005,
2_161,161.5,0,2005,
2_162,162.3238713,1,2005,
2_163,163.97384,1,2005,
3_0,3.29186338,1,2006,
3_1,4.5,0,2006,
3_2,5.5,0,2006,
3_3,6.5,0,2006,
3_4,7.5,0,2006,
3_5,8.474685382,1,2006,
3_6,9.5,0,2006,
3_7,10.08459175,1,2006,
3_8,11.59566014,1,2006,
3_9,12.5,0,2006,
3_10,13.5,0,2006,
3_11,14.5,0,2006,
3_12,15.5,0,2006,
3_13,16.20823857,1,2006,
3_14,17.5,0,2006,
3_15,18.5,0,2006,
3_16,19.5,0,2006,
3_17,20.5,0,2006,
3_18,21.5,0,2006,
3_19,22.5,0,2006,
3_20,23.5,0,2006,
3_21,24.5,0,2006,
3_22,25.5,0,2006,
3_23,26.5,0,2006,
3_24,27.5,0,2006,
3_25,28.5,0,2006,
3_26,29.5,0,2006,
3_27,30.5,0,2006,
3_28,31.5,0,2006,
3_29,32.31281158,1,2006,
3_30,33.20358129,1,2006,
3_31,34.5,0,2006,
3_32,35.98638672,1,2006,
3_33,36.41897471,2,2006,
3_34,37.5,0,2006,
3_35,38.5,0,2006,
3_36,39.55985143,2,2006,
3_37,40.5,0,2006,
3_38,41.59625821,4,2006,
3_39,42.91555845,1,2006,
3_40,43.27923327,3,2006,
3_41,44.22932632,3,2006,
3_42,45.63577791,7,2006,
3_43,46.5,0,2006,
3_44,47.8733006,1,2006,
3_45,48.45848027,8,2006,
3_46,49.66804867,3,2006,
3_47,50.54601075,4,2006,
3_48,51.25001151,3,2006,
3_49,52.45021982,6,2006,
