DayOfYear,class,lat,lon,old_class,point_id,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,system:time_start,year
223,2,-13.36637807,-57.83157907,9,2522,1446,2162,545,848,3053,,2657,1.28E+12,2011
221,0,-13.37279638,-57.84881425,2,2523,1700,2644,657,1154,3866,,3918,1.28E+12,2011
221,1,-13.37925957,-57.86600455,1,2524,1848,2656,669,1172,3651,,4128,1.28E+12,2011
221,0,-13.39003156,-57.86169576,2,2525,1692,2883,597,1067,4353,,3289,1.28E+12,2011
221,1,-13.38787716,-57.85523256,1,2526,1861,3254,610,1118,4116,,2946,1.28E+12,2011
223,2,-13.38787716,-57.83588787,9,2527,1199,2294,479,778,3175,3264,2495,1.28E+12,2011
223,2,-13.38572276,-57.84450546,9,2528,1256,2312,459,798,3316,,2475,1.28E+12,2011
221,2,-13.27382872,-58.01232407,9,2529,1871,3044,659,1148,4289,,3189,1.28E+12,2011
221,2,-13.26305674,-58.01447847,3,2530,1921,3239,707,1285,4679,5004,3246,1.28E+12,2011
221,2,-13.27598312,-58.02740486,3,2531,1900,3279,684,1238,4659,,3224,1.28E+12,2011
221,2,-13.12104601,-57.98867058,3,2532,1922,3194,739,1288,4714,4890,3081,1.28E+12,2011
221,2,-13.1296636,-57.99728817,3,2533,1586,2851,587,986,4167,,3008,1.28E+12,2011
221,1,-13.12320041,-57.96286269,1,2534,1801,3154,655,1150,4247,4453,3018,1.28E+12,2011
221,1,-13.1275092,-57.97789859,1,2535,2019,3334,758,1324,4611,,3145,1.28E+12,2011
221,2,-13.11673721,-57.9735898,3,2536,1695,2748,660,1054,4053,,3067,1.28E+12,2011
221,1,-13.11242842,-57.95855389,1,2537,1404,2540,539,908,3773,3979,2738,1.28E+12,2011
221,1,-13.10811962,-57.9499363,1,2538,1086,2633,461,811,3622,3163,1790,1.28E+12,2011
223,0,-11.48994241,-56.28220794,2,2539,2049,3638,801,1373,4760,,3227,1.28E+12,2011
223,1,-11.535095,-56.23274655,1,2540,1868,3115,922,1364,4358,4841,3208,1.28E+12,2011
223,0,-11.99344314,-56.02830317,2,2541,1510,2698,511,934,3799,4050,3010,1.28E+12,2011
223,0,-11.99775194,-56.04122956,2,2542,1441,2716,505,954,3858,,2720,1.28E+12,2011
223,0,-11.99775194,-56.00249528,2,2543,1982,3518,675,1257,4082,,2487,1.28E+12,2011
223,1,-11.99344314,-55.97448811,1,2544,2134,3536,778,1395,4658,,3205,1.28E+12,2011
223,1,-11.99344314,-55.96160661,1,2545,1784,3073,635,1132,4416,,3093,1.28E+12,2011
223,2,-11.98271604,-55.96160661,9,2546,1756,3093,613,1078,4352,,3222,1.28E+12,2011
223,2,-11.98702483,-55.94652582,9,2547,1910,3228,792,1249,4415,,3112,1.28E+12,2011
223,1,-11.99344314,-55.93575383,1,2548,1989,3448,748,1300,4784,,3098,1.28E+12,2011
223,0,-12.01067833,-55.92071793,2,2549,1561,2526,594,979,3594,,3058,1.28E+12,2011
223,1,-12.04294941,-55.97879691,1,2550,1854,3262,676,1218,4629,,3086,1.28E+12,2011
223,1,-12.03864062,-55.9680698,1,2551,1907,3241,704,1235,4472,,3011,1.28E+12,2011
223,1,-12.02360471,-55.95083462,1,2552,1573,2807,647,1086,4290,4425,2828,1.28E+12,2011
223,1,-12.01929592,-55.94221703,1,2553,1573,3168,603,1125,4093,4121,2814,1.28E+12,2011
223,1,-11.99344314,-55.95083462,1,2554,1806,3119,642,1162,4378,,3058,1.28E+12,2011
223,1,-12.00636953,-55.95083462,1,2555,1645,3018,653,1089,4405,,2898,1.28E+12,2011
223,2,-12.01067833,-55.95945221,9,2556,1814,3091,643,1200,4387,4691,3184,1.28E+12,2011
223,1,-12.00636953,-55.97448811,1,2557,1421,2694,507,924,4149,,2782,1.28E+12,2011
223,1,-12.02360471,-55.97664251,1,2558,1894,3172,681,1163,4569,4680,3196,1.28E+12,2011
223,2,-12.01929592,-55.96160661,9,2559,1788,3164,687,1151,4483,4579,3125,1.28E+12,2011
223,2,-12.02575911,-55.9702242,9,2560,1839,3273,694,1156,4617,4695,3122,1.28E+12,2011
223,1,-12.02791351,-55.9831057,1,2561,1902,3406,680,1141,4540,4704,3146,1.28E+12,2011
223,1,-12.03648622,-56.00249528,1,2562,1936,3339,732,1295,4641,4903,3178,1.28E+12,2011
223,1,-12.02360471,-56.00249528,1,2563,1563,3361,571,1161,4541,,3013,1.28E+12,2011
223,1,-12.00852393,-55.99387769,1,2564,2159,3566,807,1418,4751,,3265,1.28E+12,2011
223,1,-12.01498712,-55.99603209,1,2565,2126,3543,769,1390,4777,4955,3244,1.28E+12,2011
223,0,-12.00852393,-56.00464968,2,2566,1854,3318,626,1173,4426,,2759,1.28E+12,2011
223,1,-12.03864062,-55.9874145,1,2567,1702,2973,656,1124,4260,,2876,1.28E+12,2011
223,2,-12.53572304,-55.95729781,9,2568,1477,2351,559,1097,3462,3959,3003,1.28E+12,2011
221,2,-12.51637834,-55.94221703,9,2569,1423,2971,757,1119,3901,3641,2276,1.28E+12,2011
223,2,-12.52499593,-55.95298902,9,2570,940,2966,404,734,3497,,1433,1.28E+12,2011
223,1,-12.38724912,-55.90348275,1,2571,1871,3414,647,1223,4858,5029,3141,1.28E+12,2011
223,2,-12.38078593,-55.87767486,9,2572,2000,3200,657,1334,4323,4778,3702,1.28E+12,2011
221,2,-12.37221322,-55.85617576,9,2573,2167,3342,1081,1714,4173,,3192,1.28E+12,2011
223,1,-12.36144123,-55.85186697,1,2574,1362,2731,463,958,4067,,2790,1.28E+12,2011
223,1,-12.37005882,-55.88629245,1,2575,1449,2974,534,1017,4280,4109,2562,1.28E+12,2011
223,1,-12.04510381,-55.53122075,1,2576,2052,3501,734,1322,4856,,3164,1.28E+12,2011
223,1,-11.89662989,-55.6129981,1,2577,1546,2829,553,1026,4432,4667,3065,1.28E+12,2011
223,2,-11.91386507,-55.6301884,9,2578,2183,3304,815,1418,4377,4693,3442,1.28E+12,2011
223,1,-11.98917923,-55.52691195,1,2579,1809,2709,692,1211,3730,,3151,1.28E+12,2011
223,2,-11.84712362,-55.58719021,9,2580,1726,3301,651,1129,4804,,3108,1.28E+12,2011
223,2,-11.90093869,-56.06703745,9,2581,2260,3805,904,1525,5002,,3298,1.28E+12,2011
232,1,-11.72019368,-55.41501791,1,2406,2434,3470,1046,1796,4331,4824,3951,1.28E+12,2011
232,1,-11.74815597,-55.41286352,1,2407,1554,2701,659,1091,4030,,3131,1.28E+12,2011
232,1,-11.75031037,-55.41286352,1,2408,1355,2478,576,965,3870,4405,2979,1.28E+12,2011
232,1,-11.79766224,-55.38490123,1,2409,1482,2811,633,1045,4168,,2746,1.28E+12,2011
232,0,-11.79981664,-55.34832135,2,2410,579,2939,364,625,3060,,1256,1.28E+12,2011
232,1,-11.80838934,-55.35693894,1,2411,1459,2654,587,981,3883,,2650,1.28E+12,2011
232,1,-11.82131573,-55.33970376,1,2412,1589,2863,614,1040,4011,,2760,1.28E+12,2011
232,1,-11.81700694,-55.34401255,1,2413,1362,2845,565,944,4093,,2915,1.28E+12,2011
232,2,-11.81269814,-55.34185815,4,2414,1323,2514,537,894,3804,,2289,1.28E+12,2011
232,1,-11.81485254,-55.33108616,1,2415,1637,3113,645,1101,4042,,2603,1.28E+12,2011
232,1,-11.81916133,-55.33539496,1,2416,1637,3113,645,1101,4042,,2603,1.28E+12,2011
232,1,-11.80838934,-55.33539496,1,2417,1280,2729,531,891,3532,,1772,1.28E+12,2011
232,1,-11.75031037,-55.39567322,1,2418,1497,2557,710,1115,3892,4273,2925,1.28E+12,2011
232,1,-11.72661199,-55.40209153,1,2419,1712,2715,777,1242,3899,,3126,1.28E+12,2011
232,2,-11.89662989,-55.06856381,4,2420,1465,2911,487,910,4191,4265,2712,1.28E+12,2011
232,0,-11.90740188,-55.075027,2,2421,1334,2545,538,876,3827,,2363,1.28E+12,2011
232,0,-11.89878429,-55.0814902,2,2422,1628,2980,546,1087,4206,4586,3145,1.28E+12,2011
232,2,-11.91597459,-55.09010779,4,2423,1645,3011,528,1026,4173,4204,2536,1.28E+12,2011
232,0,-11.93105537,-55.0922173,2,2424,1585,2755,574,1016,4153,4439,2744,1.28E+12,2011
232,2,-11.94398176,-55.10729809,4,2425,1523,2935,517,980,4139,,2545,1.28E+12,2011
232,2,-11.92890097,-55.10298929,4,2426,1734,3054,589,1115,4491,,3051,1.28E+12,2011
232,0,-11.91812899,-55.11160688,2,2427,1974,2864,596,1178,3738,3956,2840,1.28E+12,2011
232,0,-11.96978965,-55.13526038,2,2428,1401,2646,516,904,3847,,2548,1.28E+12,2011
232,1,-11.96763525,-55.19984743,1,2429,1278,2429,381,769,3768,,2596,1.28E+12,2011
232,1,-11.97840724,-55.18907544,1,2430,1151,2671,389,778,3059,,1323,1.28E+12,2011
232,1,-11.98271604,-55.19769303,1,2431,1428,2551,445,880,3590,,2793,1.28E+12,2011
232,1,-11.99344314,-55.19553863,1,2432,1355,2407,454,869,3769,,2993,1.28E+12,2011
232,1,-11.98487044,-55.18907544,1,2433,1340,2482,465,825,3299,,2129,1.28E+12,2011
232,1,-11.99344314,-55.18907544,1,2434,1529,2559,440,916,3704,,2878,1.28E+12,2011
232,0,-12.01067833,-55.19338423,2,2435,1372,2705,450,836,4001,4211,2830,1.28E+12,2011
232,0,-12.01067833,-55.17830345,2,2436,1551,2550,578,985,3849,,3042,1.28E+12,2011
232,0,-12.00636953,-55.17184026,2,2437,1634,2878,588,1062,4300,4665,3058,1.28E+12,2011
232,1,-12.00206074,-55.17184026,1,2438,1257,2847,502,936,4198,4556,2898,1.28E+12,2011
232,0,-12.00421513,-55.16111315,2,2439,1590,2874,603,1040,3827,3545,2122,1.28E+12,2011
232,0,-12.01498712,-55.16968586,2,2440,1683,2629,557,984,3778,,2847,1.28E+12,2011
232,0,-12.01929592,-55.18045785,2,2441,1372,2253,616,944,3741,4395,3163,1.28E+12,2011
232,0,-12.03006791,-55.17614905,2,2442,1704,2962,642,1100,4401,4767,3091,1.28E+12,2011
232,0,-12.02145032,-55.15034116,2,2443,1937,2687,598,1038,3692,,3587,1.28E+12,2011
232,0,-12.03006791,-55.15034116,2,2444,1989,2744,606,1051,3703,4115,3534,1.28E+12,2011
232,0,-11.98917923,-55.14603236,2,2445,1729,3211,501,1073,4315,,2650,1.28E+12,2011
232,0,-11.98056164,-55.13956917,2,2446,1667,2994,672,1116,3998,3821,2365,1.28E+12,2011
232,1,-11.97840724,-55.14603236,1,2447,1427,2931,480,958,4069,,2947,1.28E+12,2011
232,0,-11.98487044,-55.15034116,2,2448,1745,3044,512,1090,4561,4737,2979,1.28E+12,2011
232,1,-11.99133363,-55.15895875,1,2449,1182,2831,336,786,4264,,2850,1.28E+12,2011
232,0,-11.99559754,-55.15680435,2,2450,1510,3089,560,977,3610,2639,1446,1.28E+12,2011
232,1,-11.99775194,-55.16326755,1,2451,1635,2952,474,1015,4272,4577,2932,1.28E+12,2011
232,1,-11.97840724,-55.15249556,1,2452,1000,3151,305,771,4211,,2897,1.28E+12,2011
232,1,-11.96763525,-55.13956917,1,2453,1461,2727,419,892,3988,,2712,1.28E+12,2011
232,0,-11.96548085,-55.14387797,2,2454,1639,2830,474,1010,4111,,2931,1.28E+12,2011
232,1,-11.96117206,-55.18907544,1,2455,1056,2608,303,735,3210,2656,1655,1.28E+12,2011
232,0,-11.95259935,-55.20200183,2,2456,1388,2457,464,850,3436,,2658,1.28E+12,2011
232,0,-11.94182736,-55.20415622,2,2457,1192,2781,489,845,3444,3340,2157,1.28E+12,2011
232,1,-11.84066043,-55.33539496,1,2458,1479,2628,656,1062,3963,4292,2900,1.28E+12,2011
232,1,-11.83850603,-55.34616695,1,2459,1632,2808,655,1113,3994,4227,2756,1.28E+12,2011
232,1,-12.44106418,-55.25361761,1,2460,1183,2250,400,782,3418,,2812,1.28E+12,2011
232,1,-12.70358654,-55.46883298,1,2461,1662,2927,644,1122,4319,4679,2983,1.28E+12,2011
232,0,-12.70574094,-55.47956008,2,2462,1574,2515,595,982,3585,3965,2682,1.28E+12,2011
232,0,-12.70789534,-55.48602328,2,2463,1709,2532,573,984,3502,3934,3075,1.28E+12,2011
232,2,-12.72293124,-55.47956008,4,2464,1339,2751,419,875,3917,3958,2368,1.28E+12,2011
232,1,-12.71651293,-55.45806099,1,2465,1824,3174,601,1101,3869,4221,2882,1.28E+12,2011
232,1,-12.72724003,-55.46452418,1,2466,1825,3232,618,1186,4555,,3003,1.28E+12,2011
232,0,-12.52068714,-55.18907544,2,2467,1144,2247,375,801,3565,,2763,1.28E+12,2011
232,0,-12.50345195,-55.23858171,2,2468,1110,3073,294,729,3936,3900,2649,1.28E+12,2011
232,0,-12.47764406,-55.24500002,2,2469,1327,2926,164,751,4267,4514,2924,1.28E+12,2011
232,1,-12.47979846,-55.23427291,1,2470,1558,3180,470,974,4525,,3069,1.28E+12,2011
232,1,-12.49483436,-55.22134652,1,2471,1641,3090,568,1087,4056,,2963,1.28E+12,2011
232,1,-12.49052557,-55.20200183,1,2472,1561,2988,523,1047,4207,,2866,1.28E+12,2011
228,2,-12.54434063,-55.93790823,9,2473,1738,3154,661,1221,4500,,3047,1.28E+12,2011
228,2,-12.54864943,-55.95729781,9,2474,1564,2865,650,1189,3900,,2607,1.28E+12,2011
232,2,-12.7789007,-56.09284534,9,2475,2175,3725,808,1422,5055,5048,3118,1.28E+12,2011
232,1,-12.80255419,-56.03476637,1,2476,2295,3927,868,1505,5176,5070,3051,1.28E+12,2011
232,1,-12.81978937,-56.03045757,1,2477,1829,3241,669,1191,4726,,3059,1.28E+12,2011
232,2,-12.91875703,-56.15958679,9,2478,1649,2563,533,970,3804,,3069,1.28E+12,2011
232,1,-12.90372112,-56.1574324,1,2479,1227,2587,407,822,4307,,2680,1.28E+12,2011
232,1,-12.92522022,-56.14235161,1,2480,2162,3656,800,1403,4862,,3057,1.28E+12,2011
232,2,-12.94030101,-56.1574324,9,2481,2138,3659,788,1388,5039,,3035,1.28E+12,2011
232,2,-12.97041769,-56.1488148,9,2482,1722,2429,491,981,3316,3666,2916,1.28E+12,2011
232,2,-13.00053438,-56.08853655,9,2483,1970,3092,646,1337,4137,,3593,1.28E+12,2011
232,2,-13.01992396,-56.09069095,9,2484,1792,3130,748,1237,4338,,2884,1.28E+12,2011
232,2,-13.00915197,-56.05626546,9,2485,1354,2932,615,996,3837,,2150,1.28E+12,2011
232,2,-12.93814661,-56.09499974,3,2486,1579,2486,499,881,3573,,3117,1.28E+12,2011
232,2,-12.92952902,-56.10792613,9,2487,1729,2732,512,986,3699,,3197,1.28E+12,2011
232,2,-12.92737462,-56.09930854,9,2488,1673,3165,598,1006,4556,,2980,1.28E+12,2011
232,2,-12.92522022,-56.09284534,9,2489,1641,2981,577,976,3903,,2982,1.28E+12,2011
232,2,-12.92306582,-56.08211824,3,2490,1637,2421,584,965,3288,,2806,1.28E+12,2011
232,2,-12.91444823,-56.09930854,9,2491,1771,2827,589,1107,3287,3773,3213,1.28E+12,2011
232,2,-12.91660263,-56.10792613,9,2492,1509,3201,605,940,4687,,2833,1.28E+12,2011
232,1,-13.00915197,-55.95945221,1,2493,1696,2844,608,1070,4005,,2958,1.28E+12,2011
232,1,-12.98765287,-55.97879691,1,2494,1994,3401,763,1317,4691,4713,2932,1.28E+12,2011
232,1,-12.96826329,-55.963761,1,2495,1709,2892,588,1098,4159,,2962,1.28E+12,2011
232,1,-13.04573185,-55.94868022,1,2496,1533,2677,521,951,4194,,2764,1.28E+12,2011
